Make Nats?,School,NATS,UT-Austin,Rickards,Palatine,Boyceville,Seven Lakes,Dick Smith,Raymond Park,BirdSO Mini,Fairfax,Westlake,SONI,Camas,Rice,Carnegie-Mellon,Solon IP,Solon Sat,SOLVI,UC Davis,Duke,Ohio State,MIT,UChicago,North Pocono IP,North Pocono Sat,Cornell,High Desert,SOAPS,Princeton,Mentor,Yale,San Marino,Golden Gate,BirdSO Sat,UMSO,SOUP,Northwestern,Mt. Vernon,LA Tech,Mason,Louisville,Lexington
TRUE,Eden Prairie H.S. MN,14.99110664,,,,10.40670638,,,,,,,17.29125381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Blue Valley West H.S. Overland Park, KS",18.88559342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.493494042,,,,,,,,
FALSE,Mira Loma H.S. CA,,,,,,,,,,,,10.67259206,,,,,,,13.51300694,,,,,,,,,,,,,,17.92948597,,,,,,,,,
FALSE,St. Ignatius H.S. OH,,,,,,,,,,,8.037829052,,,,,14.52826845,,,,,,,,,,,,,,18.64473345,,,,,,,,,,,,
FALSE,Princeton H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.73856532,,,,,,,18.59196328,,,,,,
FALSE,"Scarsdale H.S. Scarsdale, NY",,,,,7.503414324,,5.212817695,,,,18.46331254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Mountain House H.S. CA,,,,,,,,,,,,11.13261758,,,,,,,10.73463168,,,,,,,,,,,,,,18.40499496,,,,,,,,,
FALSE,"Blue Valley North H.S. Overland Park, KS",,,,,,,8.493078585,,,,,,,,,,,9.272372993,,,,,,,,,,,,,,,,18.36874217,,,,,,,,
TRUE,Barrington H.S. RI,15.20587894,,,,,,,,,,,10.6309745,,,,,,,,,,15.61315248,,,,,,,,,,,,4.827340937,,,,,,,,
FALSE,Garnet Valley H.S. PA,,,,,,,,,,,,,,,,,,,,,16.38265424,,,,,,,,,,,,,,,16.38613713,,,,,,
FALSE,Bethlehem Central H.S. NY,,,,,,,,,,,,,,,,,,,,,,15.98978555,,,,,,,,,,,,4.827340937,,,,,,16.71100784,,
FALSE,"Rancho Bernardo H.S. San Diego, CA",,,,,,,,,11.32559947,,,,,,,,,,,,10.66302433,,,,,,,,,,,,,,,,,,,18.20946079,,
FALSE,Archbishop Hoban H.S. OH,,,,,,,,,,,,,,,,14.50887156,,,,,,,,,,,,,,17.84376638,,,,,,,,,,,,
FALSE,Revere H.S. OH,,,,,,,,,,,13.91849715,,,,,13.55005586,,,,,,,,,,,,,,12.6720985,,,,,,,8.572129689,,,,,
FALSE,"Dublin H.S. Dublin, CA",,,,,,,,,10.51403245,,,11.73985127,,,,,,,10.88725677,,,15.253854,,,,,,,,,,,,,,,,,,,,
FALSE,IMSA IL,,,,10.86604083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78583249,,,,,
FALSE,Fayetteville-Manlius H.S. NY,,,4.755424095,,,,,,8.691972007,,,,,,12.52988196,,,,,,,,,,,,,,,,7.522758087,,,17.31819019,,,,,,,,
FALSE,Menomonie H.S. WI,,,,,17.35651376,,,,,,,14.00473125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,University of Chicago Laboratory Schools H.S. IL,,,,,,,,,,,,,,,,,,,,,,,17.52492227,,,,,,,,,,,,,,,,,,,
FALSE,Whitney M. Young Magnet H.S. IL,,,,,,,,,,,5.709902405,,,,,,,,,,,,10.4054226,,,,,,,,,,,17.40870338,,,,,,,,
FALSE,"Penncrest H.S. Media, PA",,,,,,,5.580388173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38335709,,,,,,
TRUE,Charter School of Wilmington DE,17.37103683,,,,,,,,12.42809145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
