Nats Rank,State,School,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
,NJ,"Governor Livingston H.S. Berkeley Heights, NJ",,,,,,,,9.463972891,,4.992984254,,,,,,,,,,,,,,,,19.5310084,,,,,,,,,,,,,
41,AZ,Catalina Foothills H.S. AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OR,St. Mary's Academy OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NJ,Princeton H.S. NJ,,,,,,,,,,,,,,19.22552493,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,Pleasant Grove H.S. CA,,,,,,,,,,,,,,,,,,,13.12158307,,,12.97600708,,,,,,,,,,,,17.46200476,,,,,
,IN,Whiting H.S. IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06506112
,WA,"Camas H.S. Camas, WA",,,,,,,,,,,,,14.09995586,,,,,,8.333427757,,,,,,,,9.911948818,,,17.66457376,,,,,,,,,
43,ND,Century H.S. ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NH,Bedford H.S. NH,,,,,,,,,,,,,,,,,,,,,,,,18.85589322,,,,,,,,12.88348708,,,,,,,
,CA,"Irvington H.S. Fremont, CA",,,,,,,,8.61597532,,,,,,,,,,,,,,14.81456939,,,,,,,,,,,,18.01733354,,,,,
,OH,Sylvania Southview H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.54550765,,,
,MA,Newton South H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19184689,,,12.93294384,,,,,14.21766376,,
,PA,Shipley School PA,,,,,,,,,,4.593988842,,,,13.45411978,,,,,,,,,,,,,,,,,,,,,,,,18.43855743,
44,IA,Ames H.S. IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.280527119,,,,
,MA,Arlington H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24011656,,,,,,,,18.29005991,,
,IL,Lake Forest Academy IL,,,,,,,,,,,,,,,12.00609798,,,,,,,,,,,,,,,,,,12.5954889,,,,,,16.73373571
45,LA,Baton Rouge Magnet H.S. LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,"Holt H.S. Holt, MI",,,,,,,,8.786809313,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19559241,,,
,NY,"Scarsdale H.S. Scarsdale, NY",,,,,,,,9.867084998,,13.61573667,,,,,,,,,,,,,17.11260572,,,,,,,,,,,,,,,,
46,MS,Northwest Rankin H.S. MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NJ,Cherry Hill H.S. East NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97427721,
,IL,Vernon Hills H.S. IL,,,,,,14.33523298,,,,5.821637055,,,,,,,,,,,,,,,,,,,,,,,17.01833233,,8.631058044,,,,
,GA,"South Forsyth H.S. Cumming, GA",9.175124954,,,,,,,12.96781018,,,,,,,,,,,,,,,,,,,,,,,,,,,17.67827125,,,,
,NY,St. Joseph's Collegiate Institute NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82862248,,,
47,OK,"Casady School Oklahoma City, OK",,,,,,,,,,,,,,,,,,,,3.748894174,,,,,,,,,,,,,,,,,,,
48,ME,Falmouth H.S. ME,,,,,,,,,,,,,,,,,,,,,,,,15.69193826,,,,,10.98891519,,,,,,,,,,
,MI,"Hudsonville H.S. Hudsonville, MI",,,,,,,,7.402105159,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73918123,,,
