Appearances,1st,2nd,3rd,4th,Overall Rank,State Rank,Make Nats?,Nats Rank,Overall Score,State,School,SONT 2022,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
3,15.69193826,13.5747892,10.98891519,,171,1,TRUE,48,12.43599817,ME,Falmouth H.S. ME,13.5747892,,,,,,,,,,,,,,,,,,,,,,,,15.69193826,,,,,10.98891519,,,,,,,,,,
2,17.73918123,7.402105159,,,172,13,FALSE,,12.41742686,MI,"Hudsonville H.S. Hudsonville, MI",,,,,,,,,7.402105159,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73918123,,,
1,17.72147403,,,,173,1,TRUE,49,12.40503182,UT,West H.S. UT,17.72147403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.69544466,9.821152139,7.76410299,,174,9,FALSE,,12.38681126,IL,Belvidere North H.S. IL,,,,,,,7.76410299,,,,,,,,,,,,,,,,,,,,,,,,,,,9.821152139,,,,,,17.69544466
2,17.66124016,7.698412993,,,175,23,FALSE,,12.36286811,NY,"The Bronx H.S. of Science New York, NY",,,,,,,,,7.698412993,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66124016,,,,
1,17.64897549,,,,176,14,FALSE,,12.35428285,MI,West Michigan Aviation Academy MI,,,,,,,,,,,,17.64897549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.64862111,4.484249364,2.36367228,,177,1,TRUE,50,12.35403477,NE,"Lincoln Science Focus Program H.S. Lincoln, NE",17.64862111,,,,,,,,4.484249364,,,,,,,,,,,,2.36367228,,,,,,,,,,,,,,,,,,,
1,17.59550966,,,,178,2,FALSE,,12.31685677,MO,International Academy Central MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59550966,,,,,,,,,,,
2,16.73849262,14.66711537,,,179,10,FALSE,,12.31550688,IL,OPRF IL,,,,,,,16.73849262,,,,,,,,,,,,,,,,,,,,,,,,,,,14.66711537,,,,,,
2,17.52616375,12.65759318,,,180,27,FALSE,,12.26831463,CA,"Orange County School of the Arts Santa Ana, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65759318,,,,,,,,17.52616375,,,,
3,16.69036135,14.50466885,5.053948652,,181,28,FALSE,,12.23709678,CA,Foothill H.S. CA,,,,,,,,,,,5.053948652,,,,,,,,,14.50466885,,,,,,,,,,,,,,,16.69036135,,,,,
1,17.44741838,,,,182,15,FALSE,,12.21319287,MI,Brighton H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.44741838,,,
2,17.43215518,13.26084626,,,183,29,FALSE,,12.20250863,CA,Davis Senior H.S. CA,,,,,,,,,,,,,,,,,,,,,,,13.26084626,,,,,,,,,,,,17.43215518,,,,,
1,17.42920063,,,,184,14,FALSE,,12.20044044,PA,State College Area H.S. PA,,,,,,,,,,,,,,,17.42920063,,,,,,,,,,,,,,,,,,,,,,,,,
2,17.3465204,9.864608565,,,185,11,FALSE,,12.14256428,IL,Mundelein H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.864608565,,,,,,17.3465204
2,17.32354722,9.648614361,,,186,24,FALSE,,12.12648305,NY,Roslyn H.S. NY,,,,,,,,,,,,,,,,,,,17.32354722,,,,,,,,,,,,,,,,,9.648614361,,,,
2,17.2611885,13.3981301,,,187,2,FALSE,,12.08283195,CT,Ridgefield H.S. CT,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2611885,,,,13.3981301,,,,,,,,,
2,17.2246392,10.80213476,,,188,11,FALSE,,12.05724744,MA,Boston University Academy MA,,,,,,,,,,,,,,,,,,,,,,,,,17.2246392,,,,,10.80213476,,,,,,,,,,
4,16.18849589,11.93939186,10.41020128,3.041281371,189,15,FALSE,,11.97557813,PA,"West Chester East H.S. West Chester, PA",,,,,,,,,,,3.041281371,,,,10.41020128,,,,,,,11.93939186,,,,,,,,,,,,,,,,,16.18849589,
2,16.93959926,11.4076875,,,190,14,FALSE,,11.85771948,OH,Olentangy Orange H.S. OH,,,,,,,,,,,,11.4076875,,,,,,,,,,,,,,,,,16.93959926,,,,,,,,,,,
3,16.91003392,10.41845238,7.570858135,,191,12,FALSE,,11.83702375,MA,Newton North H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,16.91003392,,,,,10.41845238,,,7.570858135,,,,,,,
3,16.88940557,7.42908076,6.815006426,,192,12,FALSE,,11.8225839,IL,"Lane Tech College Prep H.S. Chicago, IL",,,,,,,,,7.42908076,,,,,,,,,,,,,,,,,,,,,,,,,16.88940557,,6.815006426,,,,
1,16.88749998,,,,193,13,FALSE,,11.82124998,IL,Naperville Central H.S. IL,,,,,,,16.88749998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
